CountryID,Country,Region,FreedomRank,RegionRank,2016 Score,Population,GDPBillions,Unemployment
143,Senegal,Sub-Saharan Africa,111,18,58.1,14.5,$33.60 ,10
144,Serbia,Europe,77,33,62.1,7.2,$95.50 ,22.2
145,Seychelles,Sub-Saharan Africa,76,6,62.2,0.1,$2.40 ,N/A
146,Sierra Leone,Sub-Saharan Africa,142,33,52.3,6.2,$12.60 ,3.3
147,Singapore,Asia-Pacific,2,2,87.8,5.5,$452.70 ,3
148,Slovak Republic,Europe,56,25,66.6,5.4,$152.60 ,13.3
149,Slovenia,Europe,90,37,60.6,2.1,$61.10 ,9.5
150,Solomon Islands,Asia-Pacific,161,37,47,0.6,$1.10 ,3.9
151,South Africa,Sub-Saharan Africa,80,7,61.9,54,$704.50 ,25.1
152,Spain,Europe,43,20,68.5,46.5,"$1,566.40 ",24.7
153,Sri Lanka,Asia-Pacific,93,17,59.9,21,$217.40 ,4.6
154,Sudan,Sub-Saharan Africa,N/A,N/A,N/A,37.3,$159.10 ,14.8
155,Suriname,South and Central America / Caribbean,134,23,53.8,0.6,$9.20 ,5.6
156,Swaziland,Sub-Saharan Africa,94,11,59.7,1.1,$8.60 ,22.3
157,Sweden,Europe,26,14,72,9.7,$448.20 ,8
158,Switzerland,Europe,4,1,81,8.1,$472.80 ,4.5
159,Syria,Middle East / North Africa,N/A,N/A,N/A,18.1,$73.00 ,N/A
160,Taiwan ,Asia-Pacific,14,5,74.7,23.4,"$1,074.50 ",4
161,Tajikistan,Asia-Pacific,149,33,51.3,8.3,$22.30 ,10.9
162,Tanzania,Sub-Saharan Africa,110,17,58.5,47.7,$127.10 ,3.1
163,Thailand,Asia-Pacific,67,11,63.9,68.7,$985.50 ,0.9
164,Timor-Leste,Asia-Pacific,167,40,45.8,1.2,$6.10 ,4.7
165,Togo,Sub-Saharan Africa,135,29,53.6,7,$10.10 ,6.9
166,Tonga,Asia-Pacific,95,18,59.6,0.1,$0.50 ,N/A
167,Trinidad and Tobago,South and Central America / Caribbean,73,14,62.9,1.4,$43.40 ,4
168,Tunisia,Middle East / North Africa,114,11,57.6,11,$124.30 ,13.3
169,Turkey,Europe,79,34,62.1,76.9,"$1,508.10 ",9.2
170,Turkmenistan,Asia-Pacific,174,41,41.9,5.8,$82.10 ,10.5
171,Uganda,Sub-Saharan Africa,102,13,59.3,38,$76.90 ,3.8
172,Ukraine,Europe,162,44,46.8,42.8,$370.80 ,7.7
173,United Arab Emirates,Middle East / North Africa,25,2,72.6,9.3,$599.80 ,3.6
174,United Kingdom,Europe,10,4,76.4,64.5,"$2,548.90 ",6.3
175,United States,North America,11,2,75.4,319,"$17,418.90 ",6.2
176,Uruguay,South and Central America / Caribbean,41,6,68.8,3.4,$70.00 ,7
177,Uzbekistan,Asia-Pacific,166,39,46,30.6,$171.70 ,10.6
178,Vanuatu,Asia-Pacific,89,15,60.8,0.3,$0.70 ,N/A
179,Venezuela,South and Central America / Caribbean,176,28,33.7,30.5,$538.90 ,8.6
180,Vietnam,Asia-Pacific,131,27,54,90.6,$510.70 ,2.3
181,Yemen,Middle East / North Africa,N/A,N/A,N/A,27.5,$103.60 ,17.4
182,Zambia,Sub-Saharan Africa,106,16,58.8,15,$61.00 ,13.3
183,Zimbabwe,Sub-Saharan Africa,175,46,38.2,13.3,$27.10 ,5.4
184,Somalia,Sub-Saharan Africa,N/A,N/A,N/A,10.5,N/A,N/A
185,Kosovo,Europe,84,35,61.4,1.87,$16.90 ,30
186,Brunei ,Asia-Pacific,51,10,67.3,0.4,$30.20 ,3.8
